ICD9,ICD9 Label,Valid_2014,Valid_2015,AGE_AT_DIAG,SEX_COND,CC_AGE_SPLIT,CC_SEX_SPLIT,CC,Additional_CC
0491,Adenoviral meningitis,Y,Y,,,,,4,
0530,Herpes zoster meningitis,Y,Y,,,,,4,
05472,H simplex meningitis,Y,Y,,,,,4,
0721,Mumps meningitis,Y,Y,,,,,4,
3212,Mening in oth viral dis,Y,Y,,,,,4,
3220,Nonpyogenic meningitis,Y,Y,,,,,4,
3221,Eosinophilic meningitis,Y,Y,,,,,4,
3222,Chronic meningitis,Y,Y,,,,,4,
3229,Meningitis NOS,Y,Y,,,,,4,
0074,Cryptosporidiosis,Y,Y,,,,,6,
0310,Pulmonary mycobacteria,Y,Y,,,,,6,
0312,DMAC bacteremia,Y,Y,,,,,6,
0785,Cytomegaloviral disease,Y,Y,,,,,6,
1124,Candidiasis of lung,Y,Y,,,,,6,
1125,Disseminated candidiasis,Y,Y,,,,,6,
11284,Candidal esophagitis,Y,Y,,,,,6,
1173,Aspergillosis,Y,Y,,,,,6,
1175,Cryptococcosis,Y,Y,,,,,6,
1177,Zygomycosis,Y,Y,,,,,6,
118,Opportunistic mycoses,Y,Y,,,,,6,
1300,Toxoplasm meningoenceph,Y,Y,,,,,6,
1304,Toxoplasma pneumonitis,Y,Y,,,,,6,
1308,Multisystem toxoplasmos,Y,Y,,,,,6,
1363,Pneumocystosis,Y,Y,,,,,6,
3210,Cryptococcal meningitis,Y,Y,,,,,6,
4841,Pneum w cytomeg incl dis,Y,Y,,,,,6,
4846,Pneum in aspergillosis,Y,Y,,,,,6,
7711,Cong cytomegalovirus inf,Y,Y,age = 0,,,,6,
1960,Mal neo lymph-head/neck,Y,Y,,,,,8,
1961,Mal neo lymph-intrathor,Y,Y,,,,,8,
1962,Mal neo lymph intra-abd,Y,Y,,,,,8,
1963,Mal neo lymph-axilla/arm,Y,Y,,,,,8,
1965,Mal neo lymph-inguin/leg,Y,Y,,,,,8,
1966,Mal neo lymph-intrapelv,Y,Y,,,,,8,
1968,Mal neo lymph node-mult,Y,Y,,,,,8,
1969,Mal neo lymph node NOS,Y,Y,,,,,8,
1970,Secondary malig neo lung,Y,Y,,,,,8,
1971,Sec mal neo mediastinum,Y,Y,,,,,8,
1972,Second malig neo pleura,Y,Y,,,,,8,
1973,Sec malig neo resp NEC,Y,Y,,,,,8,
1974,Sec malig neo sm bowel,Y,Y,,,,,8,
1975,Sec malig neo lg bowel,Y,Y,,,,,8,
1976,Sec mal neo peritoneum,Y,Y,,,,,8,
1977,Second malig neo liver,Y,Y,,,,,8,
1978,Sec mal neo GI NEC,Y,Y,,,,,8,
1980,Second malig neo kidney,Y,Y,,,,,8,
1981,Sec malig neo urin NEC,Y,Y,,,,,8,
1982,Secondary malig neo skin,Y,Y,,,,,8,
1983,Sec mal neo brain/spine,Y,Y,,,,,8,
1984,Sec malig neo nerve NEC,Y,Y,,,,,8,
1985,Secondary malig neo bone,Y,Y,,,,,8,
1986,Second malig neo ovary,Y,Y,,female,,,8,
1987,Second malig neo adrenal,Y,Y,,,,,8,
19881,Second malig neo breast,Y,Y,,,,,8,
19882,Second malig neo genital,Y,Y,,,,,8,
19889,Secondary malig neo NEC,Y,Y,,,,,8,
1990,Malig neo disseminated,Y,Y,,,,,8,
20400,Ac lym leuk wo achv rmsn,Y,Y,,,age >= 18,,8,
20401,Act lym leuk w rmsion,Y,Y,,,age >= 18,,8,
20402,Act lymp leuk in relapse,Y,Y,,,age >= 18,,8,
20500,Ac myl leuk wo achv rmsn,Y,Y,,,,,8,
20501,Act myl leuk w rmsion,Y,Y,,,,,8,
20502,Act myel leuk in relapse,Y,Y,,,,,8,
20600,Ac mono leu wo achv rmsn,Y,Y,,,age >= 18,,8,
20601,Act mono leuk w rmsion,Y,Y,,,age >= 18,,8,
20602,Act mono leuk in relapse,Y,Y,,,age >= 18,,8,
20700,Ac erth/erlk wo ach rmsn,Y,Y,,,age >= 18,,8,
20701,Act erth/erylk w rmson,Y,Y,,,age >= 18,,8,
20702,Ac erth/erylk in relapse,Y,Y,,,age >= 18,,8,
20800,Ac leu un cl wo ach rmsn,Y,Y,,,age >= 18,,8,
20801,Act leuk uns cl w rmson,Y,Y,,,age >= 18,,8,
20802,Ac leuk uns cl relapse,Y,Y,,,age >= 18,,8,
20970,Sec neuroendo tumor NOS,Y,Y,,,,,8,
20971,Sec neuroend tu dist lym,Y,Y,,,,,8,
20972,Sec neuroend tumor-liver,Y,Y,,,,,8,
20973,Sec neuroendo tumor-bone,Y,Y,,,,,8,
20974,Sec neuroendo tu-periton,Y,Y,,,,,8,
20975,Secondary Merkel cell ca,Y,Y,,,,,8,
20979,Sec neuroend tu oth site,Y,Y,,,,,8,
27788,Tumor lysis syndrome,Y,Y,,,,,8,
1500,Mal neo cervical esophag,Y,Y,,,,,9,
1501,Mal neo thoracic esophag,Y,Y,,,,,9,
1502,Mal neo abdomin esophag,Y,Y,,,,,9,
1503,Mal neo upper 3rd esoph,Y,Y,,,,,9,
1504,Mal neo middle 3rd esoph,Y,Y,,,,,9,
1505,Mal neo lower 3rd esoph,Y,Y,,,,,9,
1508,Mal neo esophagus NEC,Y,Y,,,,,9,
1509,Mal neo esophagus NOS,Y,Y,,,,,9,
1510,Mal neo stomach cardia,Y,Y,,,,,9,
1511,Malignant neo pylorus,Y,Y,,,,,9,
1512,Mal neo pyloric antrum,Y,Y,,,,,9,
1513,Mal neo stomach fundus,Y,Y,,,,,9,
1514,Mal neo stomach body,Y,Y,,,,,9,
1515,Mal neo stom lesser curv,Y,Y,,,,,9,
1516,Mal neo stom great curv,Y,Y,,,,,9,
1518,Malig neopl stomach NEC,Y,Y,,,,,9,
1519,Malig neopl stomach NOS,Y,Y,,,,,9,
1520,Malignant neopl duodenum,Y,Y,,,,,9,
1521,Malignant neopl jejunum,Y,Y,,,,,9,
1522,Malignant neoplasm ileum,Y,Y,,,,,9,
1523,Mal neo meckel's divert,Y,Y,,,,,9,
1528,Mal neo small bowel NEC,Y,Y,,,,,9,
1529,Mal neo small bowel NOS,Y,Y,,,,,9,
1550,"Mal neo liver, primary",Y,Y,,,,,9,
1551,Mal neo intrahepat ducts,Y,Y,,,,,9,
1552,Malignant neo liver NOS,Y,Y,,,,,9,
1560,Malig neo gallbladder,Y,Y,,,,,9,
1561,Mal neo extrahepat ducts,Y,Y,,,,,9,
1562,Mal neo ampulla of vater,Y,Y,,,,,9,
1568,Malig neo biliary NEC,Y,Y,,,,,9,
1569,Malig neo biliary NOS,Y,Y,,,,,9,
1570,Mal neo pancreas head,Y,Y,,,,,9,
1571,Mal neo pancreas body,Y,Y,,,,,9,
1572,Mal neo pancreas tail,Y,Y,,,,,9,
1573,Mal neo pancreatic duct,Y,Y,,,,,9,
1574,Mal neo islet langerhans,Y,Y,,,,,9,
1578,Malig neo pancreas NEC,Y,Y,,,,,9,
1579,Malig neo pancreas NOS,Y,Y,,,,,9,
1580,Mal neo retroperitoneum,Y,Y,,,,,9,
1588,Mal neo peritoneum NEC,Y,Y,,,,,9,
1589,Mal neo peritoneum NOS,Y,Y,,,,,9,
1620,Malignant neo trachea,Y,Y,,,,,9,
1622,Malig neo main bronchus,Y,Y,,,,,9,
1623,Mal neo upper lobe lung,Y,Y,,,,,9,
1624,Mal neo middle lobe lung,Y,Y,,,,,9,
1625,Mal neo lower lobe lung,Y,Y,,,,,9,
1628,Mal neo bronch/lung NEC,Y,Y,,,,,9,
1629,Mal neo bronch/lung NOS,Y,Y,,,,,9,
1630,Mal neo parietal pleura,Y,Y,,,,,9,
1631,Mal neo visceral pleura,Y,Y,,,,,9,
1638,Malig neopl pleura NEC,Y,Y,,,,,9,
1639,Malig neopl pleura NOS,Y,Y,,,,,9,
1910,Malign neopl cerebrum,Y,Y,,,,,9,
1911,Malig neo frontal lobe,Y,Y,,,,,9,
1912,Mal neo temporal lobe,Y,Y,,,,,9,
1913,Mal neo parietal lobe,Y,Y,,,,,9,
1914,Mal neo occipital lobe,Y,Y,,,,,9,
1915,Mal neo cereb ventricle,Y,Y,,,,,9,
1916,Mal neo cerebellum NOS,Y,Y,,,,,9,
1917,Mal neo brain stem,Y,Y,,,,,9,
1918,Malig neo brain NEC,Y,Y,,,,,9,
1919,Malig neo brain NOS,Y,Y,,,,,9,
1920,Mal neo cranial nerves,Y,Y,,,,,9,
1921,Mal neo cerebral mening,Y,Y,,,,,9,
1922,Mal neo spinal cord,Y,Y,,,,,9,
1923,Mal neo spinal meninges,Y,Y,,,,,9,
1928,Mal neo nervous syst NEC,Y,Y,,,,,9,
1929,Mal neo nervous syst NOS,Y,Y,,,,,9,
1940,Malign neopl adrenal,Y,Y,,,age < 18,,9,
1943,Malig neo pituitary,Y,Y,,,,,9,
1944,Malign neo pineal gland,Y,Y,,,,,9,
20300,Mult mye w/o achv rmson,Y,Y,,,,,9,
20301,Mult myelm w remission,Y,Y,,,,,9,
20302,Mult myeloma in relapse,Y,Y,,,,,9,
20310,Pls cl leu w/o achv rmsn,Y,Y,,,,,9,
20311,Plsm cell leuk w rmson,Y,Y,,,,,9,
20312,Plsm cel leuk in relapse,Y,Y,,,,,9,
20380,Oth imno npl wo ach rmsn,Y,Y,,,,,9,
20381,Oth imnprfl npl w rmsn,Y,Y,,,,,9,
20382,Oth imnprlf neo-relapse,Y,Y,,,,,9,
20400,Ac lym leuk wo achv rmsn,Y,Y,,,age < 18,,9,
20401,Act lym leuk w rmsion,Y,Y,,,age < 18,,9,
20402,Act lymp leuk in relapse,Y,Y,,,age < 18,,9,
20510,Ch myl leuk wo achv rmsn,Y,Y,,,,,9,
20511,Chr myl leuk w rmsion,Y,Y,,,,,9,
20512,Chr myel leuk in relapse,Y,Y,,,,,9,
20520,Sbac myl leu wo ach rmsn,Y,Y,,,,,9,
20521,Sbac myl leuk w rmsion,Y,Y,,,,,9,
20522,Sbac myl leuk in relapse,Y,Y,,,,,9,
20530,Myl sarcoma wo achv rmsn,Y,Y,,,,,9,
20531,Myl srcoma w rmsion,Y,Y,,,,,9,
20532,Myel sarcoma in relapse,Y,Y,,,,,9,
20580,Oth my leuk wo achv rmsn,Y,Y,,,,,9,
20581,Oth myl leuk w rmsion,Y,Y,,,,,9,
20582,Oth myel leuk in relapse,Y,Y,,,,,9,
20590,Uns my leu wo ach rmsn,Y,Y,,,,,9,
20591,Uns myl leuk w rmsion,Y,Y,,,,,9,
20592,Myel leuk NOS in relapse,Y,Y,,,,,9,
20600,Ac mono leu wo achv rmsn,Y,Y,,,age < 18,,9,
20601,Act mono leuk w rmsion,Y,Y,,,age < 18,,9,
20602,Act mono leuk in relapse,Y,Y,,,age < 18,,9,
20610,Ch mono leu wo achv rmsn,Y,Y,,,,,9,
20611,Chr mono leuk w rmsion,Y,Y,,,,,9,
20612,Chr mono leuk in relapse,Y,Y,,,,,9,
20620,Sbac mno leu wo ach rmsn,Y,Y,,,,,9,
20621,Sbac mono leuk w rmsion,Y,Y,,,,,9,
20622,Sbac mono leu in relapse,Y,Y,,,,,9,
20680,Ot mono leu wo achv rmsn,Y,Y,,,,,9,
20681,Oth mono leuk w rmsion,Y,Y,,,,,9,
20682,Oth mono leuk in relapse,Y,Y,,,,,9,
20690,Uns mno leu wo ach rmsn,Y,Y,,,,,9,
20691,Uns mono leuk w rmsion,Y,Y,,,,,9,
20692,Mono leuk NOS relapse,Y,Y,,,,,9,
20700,Ac erth/erlk wo ach rmsn,Y,Y,,,age < 18,,9,
20701,Act erth/erylk w rmson,Y,Y,,,age < 18,,9,
20702,Ac erth/erylk in relapse,Y,Y,,,age < 18,,9,
20710,Chr erythrm w/o ach rmsn,Y,Y,,,,,9,
20711,Chr erythrm w remision,Y,Y,,,,,9,
20712,Chr erythrmia in relapse,Y,Y,,,,,9,
20720,Mgkrcyt leuk wo ach rmsn,Y,Y,,,,,9,
20721,Mgkrycyt leuk w rmsion,Y,Y,,,,,9,
20722,Mgkrycyt leuk in relapse,Y,Y,,,,,9,
20780,Oth leuk w/o achv rmsn,Y,Y,,,,,9,
20781,Oth spf leuk w remsion,Y,Y,,,,,9,
20782,Oth spf leuk in relapse,Y,Y,,,,,9,
20800,Ac leu un cl wo ach rmsn,Y,Y,,,age < 18,,9,
20801,Act leuk uns cl w rmson,Y,Y,,,age < 18,,9,
20802,Ac leuk uns cl relapse,Y,Y,,,age < 18,,9,
1700,Mal neo skull/face bone,Y,Y,,,,,10,
1701,Malignant neo mandible,Y,Y,,,,,10,
1702,Malig neo vertebrae,Y,Y,,,,,10,
1703,Mal neo ribs/stern/clav,Y,Y,,,,,10,
1704,Mal neo long bones arm,Y,Y,,,,,10,
1705,Mal neo bones wrist/hand,Y,Y,,,,,10,
1706,Mal neo pelvic girdle,Y,Y,,,,,10,
1707,Mal neo long bones leg,Y,Y,,,,,10,
1708,Mal neo bones ankle/foot,Y,Y,,,,,10,
1709,Malig neopl bone NOS,Y,Y,,,,,10,
1710,Mal neo soft tissue head,Y,Y,,,,,10,
1712,Mal neo soft tissue arm,Y,Y,,,,,10,
1713,Mal neo soft tissue leg,Y,Y,,,,,10,
1714,Mal neo soft tis thorax,Y,Y,,,,,10,
1715,Mal neo soft tis abdomen,Y,Y,,,,,10,
1716,Mal neo soft tis pelvis,Y,Y,,,,,10,
1717,Mal neopl trunk NOS,Y,Y,,,,,10,
1718,Mal neo soft tissue NEC,Y,Y,,,,,10,
1719,Mal neo soft tissue NOS,Y,Y,,,,,10,
1760,Skin - kaposi's sarcoma,Y,Y,,,,,10,
1761,Sft tisue - kpsi's srcma,Y,Y,,,,,10,
1762,Palate - kpsi's sarcoma,Y,Y,,,,,10,
1763,GI sites - kpsi's srcoma,Y,Y,,,,,10,
1764,Lung - kaposi's sarcoma,Y,Y,,,,,10,
1765,Lym nds - kpsi's sarcoma,Y,Y,,,,,10,
1768,Spf sts - kpsi's sarcoma,Y,Y,,,,,10,
1769,Kaposi's sarcoma NOS,Y,Y,,,,,10,
1940,Malign neopl adrenal,Y,Y,,,age >= 18,,10,
20000,Retclsrc unsp xtrndl org,Y,Y,,,,,10,
20001,Reticulosarcoma head,Y,Y,,,,,10,
20002,Reticulosarcoma thorax,Y,Y,,,,,10,
20003,Reticulosarcoma abdom,Y,Y,,,,,10,
20004,Reticulosarcoma axilla,Y,Y,,,,,10,
20005,Reticulosarcoma inguin,Y,Y,,,,,10,
20006,Reticulosarcoma pelvic,Y,Y,,,,,10,
20007,Reticulosarcoma spleen,Y,Y,,,,,10,
20008,Reticulosarcoma mult,Y,Y,,,,,10,
20010,Lymphsrc unsp xtrndl org,Y,Y,,,,,10,
20011,Lymphosarcoma head,Y,Y,,,,,10,
20012,Lymphosarcoma thorax,Y,Y,,,,,10,
20013,Lymphosarcoma abdom,Y,Y,,,,,10,
20014,Lymphosarcoma axilla,Y,Y,,,,,10,
20015,Lymphosarcoma inguin,Y,Y,,,,,10,
20016,Lymphosarcoma pelvic,Y,Y,,,,,10,
20017,Lymphosarcoma spleen,Y,Y,,,,,10,
20018,Lymphosarcoma mult,Y,Y,,,,,10,
20020,Brkt tmr unsp xtrndl org,Y,Y,,,,,10,
20021,Burkitt's tumor head,Y,Y,,,,,10,
20022,Burkitt's tumor thorax,Y,Y,,,,,10,
20023,Burkitt's tumor abdom,Y,Y,,,,,10,
20024,Burkitt's tumor axilla,Y,Y,,,,,10,
20025,Burkitt's tumor inguin,Y,Y,,,,,10,
20026,Burkitt's tumor pelvic,Y,Y,,,,,10,
20027,Burkitt's tumor spleen,Y,Y,,,,,10,
20028,Burkitt's tumor mult,Y,Y,,,,,10,
20030,Margnl zone lym xtrndl,Y,Y,,,,,10,
20031,Margin zone lym head,Y,Y,,,,,10,
20032,Margin zone lym thorax,Y,Y,,,,,10,
20033,Margin zone lym abdom,Y,Y,,,,,10,
20034,Margin zone lym axilla,Y,Y,,,,,10,
20035,Margin zone lym inguin,Y,Y,,,,,10,
20036,Margin zone lym pelvic,Y,Y,,,,,10,
20037,Margin zone lymph spleen,Y,Y,,,,,10,
20038,Margin zone lymph multip,Y,Y,,,,,10,
20040,Mantle cell lym xtrrndl,Y,Y,,,,,10,
20041,Mantle cell lymph head,Y,Y,,,,,10,
20042,Mantle cell lymph thorax,Y,Y,,,,,10,
20043,Mantle cell lymph abdom,Y,Y,,,,,10,
20044,Mantle cell lymph axilla,Y,Y,,,,,10,
