Model,Variable,Definition
Infant,IHCC_SEVERITY2,if HHS_HCC151 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC153 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC160 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY2,if HHS_HCC217 = 1 then IHCC_SEVERITY2 = 1;
Infant,IHCC_SEVERITY1,if HHS_HCC037 = 1 then IHCC_SEVERITY1 = 1;
Infant,IHCC_SEVERITY1,if HHS_HCC047 = 1 then IHCC_SEVERITY1 = 1;
Infant,IHCC_SEVERITY1,if HHS_HCC071 = 1 then IHCC_SEVERITY1 = 1;
Infant,IHCC_SEVERITY1,if HHS_HCC102 = 1 then IHCC_SEVERITY1 = 1;
Infant,IHCC_SEVERITY1,if HHS_HCC103 = 1 then IHCC_SEVERITY1 = 1;
Infant,IHCC_SEVERITY1,if HHS_HCC118 = 1 then IHCC_SEVERITY1 = 1;
Infant,IHCC_SEVERITY1,if HHS_HCC161 = 1 then IHCC_SEVERITY1 = 1;
Infant,IHCC_SEVERITY1,if HHS_HCC188 = 1 then IHCC_SEVERITY1 = 1;
Infant,IHCC_SEVERITY1,if HHS_HCC254 = 1 then IHCC_SEVERITY1 = 1;
Infant,EXTREMELY_IMMATURE_X_SEVERITY5 ,if IHCC_SEVERITY5 = 1 and IHCC_EXTREMELY_IMMATURE  = 1 then EXTREMELY_IMMATURE_X_SEVERITY5  = 1;
Infant,IMMATURE_X_SEVERITY5           ,if IHCC_SEVERITY5 = 1 and IHCC_IMMATURE            = 1 then IMMATURE_X_SEVERITY5            = 1;
Infant,PREMATURE_MULTIPLES_X_SEVERITY5,if IHCC_SEVERITY5 = 1 and IHCC_PREMATURE_MULTIPLES = 1 then PREMATURE_MULTIPLES_X_SEVERITY5 = 1;
Infant,TERM_X_SEVERITY5               ,if IHCC_SEVERITY5 = 1 and IHCC_TERM                = 1 then TERM_X_SEVERITY5                = 1;
Infant,AGE1_X_SEVERITY5               ,if IHCC_SEVERITY5 = 1 and IHCC_AGE1                = 1 then AGE1_X_SEVERITY5                = 1;
Infant,EXTREMELY_IMMATURE_X_SEVERITY4 ,if IHCC_SEVERITY4 = 1 and IHCC_EXTREMELY_IMMATURE  = 1 then EXTREMELY_IMMATURE_X_SEVERITY4  = 1;
Infant,IMMATURE_X_SEVERITY4           ,if IHCC_SEVERITY4 = 1 and IHCC_IMMATURE            = 1 then IMMATURE_X_SEVERITY4            = 1;
Infant,PREMATURE_MULTIPLES_X_SEVERITY4,if IHCC_SEVERITY4 = 1 and IHCC_PREMATURE_MULTIPLES = 1 then PREMATURE_MULTIPLES_X_SEVERITY4 = 1;
Infant,TERM_X_SEVERITY4               ,if IHCC_SEVERITY4 = 1 and IHCC_TERM                = 1 then TERM_X_SEVERITY4                = 1;
Infant,AGE1_X_SEVERITY4               ,if IHCC_SEVERITY4 = 1 and IHCC_AGE1                = 1 then AGE1_X_SEVERITY4                = 1;
Infant,EXTREMELY_IMMATURE_X_SEVERITY3 ,if IHCC_SEVERITY3 = 1 and IHCC_EXTREMELY_IMMATURE  = 1 then EXTREMELY_IMMATURE_X_SEVERITY3  = 1;
Infant,IMMATURE_X_SEVERITY3           ,if IHCC_SEVERITY3 = 1 and IHCC_IMMATURE            = 1 then IMMATURE_X_SEVERITY3            = 1;
Infant,PREMATURE_MULTIPLES_X_SEVERITY3,if IHCC_SEVERITY3 = 1 and IHCC_PREMATURE_MULTIPLES = 1 then PREMATURE_MULTIPLES_X_SEVERITY3 = 1;
Infant,TERM_X_SEVERITY3               ,if IHCC_SEVERITY3 = 1 and IHCC_TERM                = 1 then TERM_X_SEVERITY3                = 1;
Infant,AGE1_X_SEVERITY3               ,if IHCC_SEVERITY3 = 1 and IHCC_AGE1                = 1 then AGE1_X_SEVERITY3                = 1;
Infant,EXTREMELY_IMMATURE_X_SEVERITY2 ,if IHCC_SEVERITY2 = 1 and IHCC_EXTREMELY_IMMATURE  = 1 then EXTREMELY_IMMATURE_X_SEVERITY2  = 1;
Infant,IMMATURE_X_SEVERITY2           ,if IHCC_SEVERITY2 = 1 and IHCC_IMMATURE            = 1 then IMMATURE_X_SEVERITY2            = 1;
Infant,PREMATURE_MULTIPLES_X_SEVERITY2,if IHCC_SEVERITY2 = 1 and IHCC_PREMATURE_MULTIPLES = 1 then PREMATURE_MULTIPLES_X_SEVERITY2 = 1;
Infant,TERM_X_SEVERITY2               ,if IHCC_SEVERITY2 = 1 and IHCC_TERM                = 1 then TERM_X_SEVERITY2                = 1;
Infant,AGE1_X_SEVERITY2               ,if IHCC_SEVERITY2 = 1 and IHCC_AGE1                = 1 then AGE1_X_SEVERITY2                = 1;
Infant,EXTREMELY_IMMATURE_X_SEVERITY1 ,if IHCC_SEVERITY1 = 1 and IHCC_EXTREMELY_IMMATURE  = 1 then EXTREMELY_IMMATURE_X_SEVERITY1  = 1;
Infant,IMMATURE_X_SEVERITY1           ,if IHCC_SEVERITY1 = 1 and IHCC_IMMATURE            = 1 then IMMATURE_X_SEVERITY1            = 1;
Infant,PREMATURE_MULTIPLES_X_SEVERITY1,if IHCC_SEVERITY1 = 1 and IHCC_PREMATURE_MULTIPLES = 1 then PREMATURE_MULTIPLES_X_SEVERITY1 = 1;
Infant,TERM_X_SEVERITY1               ,if IHCC_SEVERITY1 = 1 and IHCC_TERM                = 1 then TERM_X_SEVERITY1                = 1;
Infant,AGE1_X_SEVERITY1               ,if IHCC_SEVERITY1 = 1 and IHCC_AGE1                = 1 then AGE1_X_SEVERITY1                = 1;  
