MEPS_CC,Name,Count,Weight,HCC
234,CRUSHING INJURY OR INTERNAL INJURY,42,"476,744",
235,"OPEN WOUNDS OF HEAD, NECK, AND TRUNK",405,"4,735,592",
236,OPEN WOUNDS OF EXTREMITIES,407,"4,741,946",
237,"COMPLICATION OF DEVICE, IMPLANT OR G",71,"895,625",
238,COMPLICATIONS OF SURGICAL PROCEDURES,125,"1,469,707",
239,"SUPERFICIAL INJURY, CONTUSION",785,"8,796,734",
240,BURNS,104,"1,140,398",
242,POISONING BY OTHER MEDICATIONS AND D,112,"1,326,592",
243,POISONING BY NONMEDICINAL SUBSTANCES,158,"1,713,492",
244,OTHER INJURIES AND CONDITIONS DUE TO,"2,017","20,309,261",
245,SYNCOPE,85,"960,565",
246,FEVER OF UNKNOWN ORIGIN,599,"4,138,044",
247,LYMPHADENITIS,61,"684,681",
250,NAUSEA AND VOMITING,539,"4,940,176",
251,ABDOMINAL PAIN,270,"2,649,535",
252,MALAISE AND FATIGUE,299,"3,473,506",
253,ALLERGIC REACTIONS,918,"9,980,152",
254,"REHABILITATION CARE, FITTING OF PROS",96,"951,307",
255,ADMINISTRATIVE/SOCIAL ADMISSION,"1,790","19,755,531",
256,MEDICAL EXAMINATION/EVALUATION,"1,140","10,669,530",
257,OTHER AFTERCARE,343,"3,591,825",
258,OTHER SCREENING FOR SUSPECTED CONDIT,801,"8,567,863",
259,"RESIDUAL CODES, UNCLASSIFIED","3,738","39,698,327",
650,ADJUSTMENT DISORDER,98,"1,171,893",
651,ANXIETY DISORDER,"3,391","38,508,722",
652,"ATTENTION-DEFICIT, CONDUCT, AND DISR",979,"9,927,353",
653,"DELIRIUM, DEMENTIA, AND AMNESTIC AND",269,"3,058,244",
654,DEVELOPMENTAL DISORDERS,130,"1,030,628",
655,DISORDERS USUALLY DIAGNOSED IN INFAN,141,"1,230,408",
657,MOOD DISORDERS,"3,158","33,769,084",
658,PERSONALITY DISORDERS,29,"316,834",90
659,SCHIZOPHRENIA AND OTHER PSYCHOTIC DI,115,"1,038,534",87
660,ALCOHOL-RELATED DISORDERS,51,"449,119",
661,SUBSTANCE-RELATED DISORDERS,135,"1,342,758",
663,SCREENING AND HISTORY OF MENTAL HEAL,103,"1,159,745",
670,MISCELLANEOUS MENTAL DISORDERS,231,"2,370,983",
